,year,state,count
284,2020,NY,19
285,2020,OH,23
286,2020,OK,28
287,2020,OR,16
288,2020,PA,19
289,2020,SC,14
290,2020,SD,2
291,2020,TN,29
292,2020,TX,83
293,2020,UT,17
294,2020,VA,15
295,2020,WA,32
296,2020,WI,18
297,2020,WV,6
298,2020,WY,1
300,2021,AL,24
301,2021,AR,13
302,2021,AZ,37
303,2021,CA,141
304,2021,CO,41
305,2021,CT,2
306,2021,DC,7
307,2021,DE,2
308,2021,FL,50
309,2021,GA,51
310,2021,HI,6
311,2021,IA,9
312,2021,ID,13
313,2021,IL,28
314,2021,IN,22
315,2021,KS,11
316,2021,KY,23
317,2021,LA,22
318,2021,MA,11
319,2021,MD,16
320,2021,ME,6
321,2021,MI,24
322,2021,MN,13
323,2021,MO,32
324,2021,MS,22
325,2021,MT,7
326,2021,NC,27
327,2021,ND,3
328,2021,NE,10
329,2021,NH,2
330,2021,NJ,11
331,2021,NM,27
332,2021,NV,11
333,2021,NY,20
334,2021,OH,26
335,2021,OK,18
336,2021,OR,17
337,2021,PA,25
338,2021,RI,1
339,2021,SC,16
340,2021,SD,3
341,2021,TN,34
342,2021,TX,95
343,2021,UT,12
344,2021,VA,21
345,2021,VT,2
346,2021,WA,13
347,2021,WI,11
348,2021,WV,6
349,2021,WY,3
351,2022,AL,16
352,2022,AR,12
353,2022,AZ,38
354,2022,CA,86
355,2022,CO,23
356,2022,DC,3
357,2022,DE,1
358,2022,FL,44
359,2022,GA,34
360,2022,IA,4
361,2022,ID,4
362,2022,IL,17
363,2022,IN,7
364,2022,KS,6
365,2022,KY,12
366,2022,LA,13
367,2022,MA,5
368,2022,MD,7
369,2022,ME,4
370,2022,MI,14
371,2022,MN,7
372,2022,MO,18
373,2022,MS,5
374,2022,MT,5
375,2022,NC,24
376,2022,ND,3
377,2022,NE,3
378,2022,NH,4
379,2022,NJ,6
380,2022,NM,23
381,2022,NV,7
382,2022,NY,10
383,2022,OH,28
384,2022,OK,14
385,2022,OR,16
386,2022,PA,16
387,2022,RI,1
388,2022,SC,16
389,2022,SD,6
390,2022,TN,19
391,2022,TX,74
392,2022,UT,4
393,2022,VA,16
394,2022,VT,2
395,2022,WA,28
396,2022,WI,5
397,2022,WV,8
398,2022,WY,8
